"Coal Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Petroleum Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector"
1139.27,87.754
1242.113,185.88
1121.694,48.342
1108.727,41.519
959.941,35.713
979.413,33.692
969.394,33.177
961.864,54.923
949.021,46.375
942.513,38.711
890.984,36.449
1014.877,61.807
1092.641,64.549
